"You have received a reply from manager on the ticket ""{subject}"".";"Вы получили ответ от менеджера на обращение ""{subject}"".";{Subject} biletiyle ilgili y?neticiden bir yan?t ald?n?z.
"You have sent a new message on the task ""{subject}"".";"Вы отправили новое сообщение по задаче ""{subject}"".";{Subject} g?reviyle ilgili yeni bir mesaj g?nderdiniz.
Your account was not approved;Ваша учетная запись не подтверждена;Hesab?n?z onaylanmad?
Your account was approved, now you can create live trading account.;Ваша учетная запись была подтверждена, теперь вы можете создать реальный торговый счет;Hesab?n?z onayland?, ?imdi canl? ticaret hesab? olu?turabilirsiniz.
Your account was approved;Ваша учетная запись была подтверждена;Hesab?n?z onayland?
Administrator didn't confirm your account. You can add new documents, or contact Administrator;Администратор не подтвердил вашу учетную запись. Вы можете добавить новые документы или связаться с администратором;Y?netici hesab?n?z? onaylamad?. Yeni belgeler ekleyebilir veya Y?netici ile ileti?ime ge?ebilirsiniz
id;;?D
In/Out {usd};Сумма: {usd};Giri? / ??k?? {usd}
In/Out;Сумма;Giri? / ??k??
Client Relations Department;Отдел по работе с клиентами;M??teri ?li?kileri Departman?
Financial service;Финансовый отдел;Finansal servis
Technical service;Технический отдел;Teknik servis
Complaints department;Отдел претензий;?ikayet departman?
Your new password;Ваш новый пароль;Yeni parolan?z
Notification of request reopening;Уведомление о переоткрытии обращения;Talebin yeniden a??lmas?na ili?kin bildirim
{client_name} reopened {subject} request;{client_name} переоткрыл обращение: {subject};{client_name}, {subject} iste?ini yeniden a?t?
Yesterday;Вчера;D?n
Reopen;Переоткрыть;Yeniden a?
Ticket is closed;Обращение закрыто;Bilet kapand?
Ticket is reopened;Обращение переоткрыто;Bilet yeniden a??ld?
"Received a response from the user ""{user}"" to the subject ""{subject}"".";"Получен ответ от пользователя ""{user}"" на тему ""{subject}"".";"{User} kullan?c?s?ndan ""{subject}"" konusuna bir yan?t al?nd?."
{user} has created a new ticket topic: {subject}. Message: {message_text};{user} создал новое обращение с темой: {subject}. Текст сообщения: {message_text};{user} yeni bir bilet konusu olu?turdu: {subject}. Mesaj: {message_text}
New message in the ticket {user};Новое сообщение в обращении {user};{User} biletinde yeni mesaj
{user} has created a new message in the ticket: {subject}. Message: {message_text};{user} создал новое сообщение в обращении: {subject}. Текст сообщения: {message_text};{user}, bilette yeni bir mesaj olu?turdu: {subject}. Mesaj: {message_text}
Ticket text;Текст обращения;Bilet metni
Type of partnership;Тип партнерства;Ortakl?k t?r?
Percentage interest;Процент вознаграждения;Y?zde faiz
Hold (days);Hold (дней);Beklet (g?nler)
