New call;Новый вызов;Yeni arama
New task;Новая задача;Yeni g?rev
Next action date;Дата следующего действия;Sonraki eylem tarihi
No point;Нет смысла;Anlam? yok
Doesn't matter;Не важно;?nemli de?il
Not interesting;Не интересно;?lgi ?ekici de?il
Viewers;Наблюдатели (Логины);G?r?nt?leyenler
Open archive;Открыть архив;Ar?ivi a?
Open task;Открыть задачу;G?revi a?
Opened tasks;Открытые задачи;A??lan g?revler
Patronim;Отчество;Patronim
Phone;Телефон;Telefon
Total;Итого;Toplam
Priority;Приоритет;?ncelik
Processed, is not completed;Обработано, не выполнено;??lendi, tamamlanmad?
Customer target;Цель клиента;M??teri hedefi
Responsible;Ответственный;Sorumluluk sahibi
Role;Роль;Rol
Save;Сохранить;Kaydet
Selected customers were deleted;Выбранные клиенты удалены;Se?ili m??teriler silindi
Source;Источник;Kaynak
Status;Статус;Durum
Subject;Тема;Konu
"Subject of your task: ""{subject}"".<p> Task: ""{message_text}"".";"Заголовок вашей задачи: ""{subject}"".<p> Задача: ""{message_text}"".";"G?revinizin konusu: ""{konu}"". <p> G?rev: ""{message_text}""."
Surname;Фамилия;Soyad?
Task;Задача;G?rev
Task parameters;Параметры задачи;G?rev parametreleri
Task title;Заголовок задачи;G?rev ba?l???
Tasks archive;Архив задач;G?revler ar?ivi
Message text;Текст сообщения;Mesaj metni
Target of the customer;Цель клиента;M??terinin hedefi
This report shows information about the potential and real clients who have been connected each month. First number is potential clients sum and second is real clients sum.;Этот отчет показывает данные о потенциальных и реальных клиентах, которые были подключены в каждом из месяцев. Первая цифра показывает число потенциальных клиентов, вторая - число реальных клиентов.;Bu rapor, her ay ba?lanan potansiyel ve ger?ek m??teriler hakk?ndaki bilgileri g?sterir. ?lk say? potansiyel m??terilerin toplam? ve ikincisi ger?ek m??terilerin toplam?d?r.
This user was deleted;Этот пользователь был удален;Bu kullan?c? silindi
Type;Тип;T?r
User role;Роль;Kullan?c? rol?
Without importance;Без важности;?nemsiz
You can choose viewers only in the desks which you belong to.;Наблюдателей  можно выбирать только из тех десков, в которых вы состоите.;?zleyicileri sadece ait oldu?unuz masalarda se?ebilirsiniz.
You cannot delete default action type.;Вы не можете удалить базовый тип дейсвтия.;Varsay?lan eylem t?r?n? silemezsiniz.
You cannot delete default source.;Вы не можете удалить базовый источник;Varsay?lan kayna?? silemezsiniz.
You cannot delete this lead.;Вы не можете удалить этот интерес;Bu m??teri aday?n? silemezsiniz.
You cannot delete this source, because this source has connected leads.;;Bu kayna?? silemezsiniz ??nk? bu kaynak ba?l? potansiyel m??terilere sahiptir.
Deletion can not be performed because there are actions with this type.;Удаление не может быть произведено, так как существуют действия с данным типом.;Bu t?r eylemler oldu?u i?in silme i?lemi ger?ekle?tirilemez.
You have a new task;У вас появилась новая задача;Yeni bir g?revin var
login;Логин;oturum a?
Effect;Эффект;Etki
Losses;Потери;Kay?plar
Result;Результат;Sonu?
Amount;Сумма;Miktar
Spam;Спам;Spam
Specialist;Специалист;Uzman
Report type;Тип отчета;Rapor tipi
Action type;Тип действия;Eylem T?r?
All specialists;Все специалисты;T?m uzmanlar
Weight;Вес;A??rl?k
Start;Начало;Ba?lat
End;Конец;Son
Number of accounts;Количество счетов;Hesap say?s?
Amount of funds;Сумма средств;Fon miktar?
Actions of selected customers were deleted;Действия выбранных клиентов были удалены;Se?ili m??terilerin eylemleri silindi
Are you sure you want to delete actions of selected customers?;Вы действительно хотите удалить действия выбранных клиентов?;Se?ili m??terilerin eylemlerini silmek istedi?inizden emin misiniz?
Delete actions;Удалить действия;Eylemleri sil
Change responsible;Сменить ответственного;Sorumlulu?u de?i?tir
Unification date {date};Дата объединения {date};Birle?me tarihi {tarih}
Client status;Статус клиента;M??teri durumu
Desk;Деск;S?ra
Additional contact;Дополнительный контакт;Ek ileti?im
Clients duplicates;Клиенты дубликаты;M??terileri kopyala
Title;Обращение;Ba?l?k
dict;;dikte
Оригинал;Перевод;
Account type is not found;Тип счета не найден;Hesap t?r? bulunamad?
EMail;;Email
Оригинал;Перевод;
One can't get the access to an option of non existent object;Невозможно получить доступ к свойству несуществующего объекта;Varolmayan bir nesne se?ene?ine eri?im sa?lanam?yor
One can't call a method of a non existent object;Невозможно вызвать метод несуществующего объекта;Var olmayan bir nesnenin y?ntemi ?a?r?lamaz
One can't add an option to a non existent object;Невозможно добавить свойство несуществующему объекту;Var olmayan bir nesneye se?enek eklenemez
pathLayouts must be a Yii alias path;;pathLayouts bir  takma ad yolu olmal?d?r
pathViews must be a Yii alias path;;pathViews bir  di?er ad yolu olmal?d?r
Recipient;Получатель;Al?c?
Trader;Трейдер;Yat?r?mc?
Employee;Сотрудник;?al??an
Section;Раздел;B?l?m
Duplicate manager;Дублировать менеджеру;Kopyalanan y?netici
Duplicate the letter to the responsible manager;Дублировать письмо ответственному менеджеру;Mektubu sorumlu y?neticiye kopyalay?n
main;;ana
Оригинал;Перевод;
Upload a file;Загрузить файл;Dosya y?kle
master;;master
Оригинал;Перевод;
To open an account you must agree to the Client Agreement;"Для открытия счета вы должны подтвердить свое согласие с ""Клиентским Соглашением""";Bir hesap a?mak i?in M??teri S?zle?mesini kabul etmelisiniz
To open an account you must agree to the Master Account Agreement;"Для открытия счета вы должны подтвердить свое согласие с ""Клиентским Соглашением Оферты""";Bir hesap a?mak i?in Ana Hesap S?zle?mesini kabul etmelisiniz
To open an account you must agree to the Terms of Service;"Для открытия счета вы должны подтвердить свое согласие c ""Клиентским Соглашением""";Bir hesap a?mak i?in Hizmet ?artlar?'n? kabul etmelisiniz
menu;;men?
Оригинал;Перевод;
Actions report;Отчет по действиям;Eylemler raporu
Accounts report;Отчет по счетам;Hesaplar raporu
Account types;Типы счетов;Hesap t?rleri
Action log;Журнал действий;Hareket g?nl???
Action types;Типы действия;Eylem t?rleri
Actions;Действия;Hareketler
Accounts;Счета;Hesaplar
CRM;;CRM
Fund account information;Информация о фондовом счете;Fon hesab? bilgileri
CRM settings;Настройки CRM;CRM ayarlar?
Requests;Заявки;?stekler
Requests archive;Архив заявок;Ar?iv istekleri
Customer information;Информация о клиенте;M??teri Bilgileri
Are you sure you want to delete this item?;Вы уверены, что хотите удалить этот элемент?;Bu ??eyi silmek istedi?inizden emin misiniz?
Customers;Клиенты;M??teriler
Payment systems report;Отчет по платежным системам;?deme sistemleri raporu
Edit fund account;Редактировать фондовый счет;Fon hesab?n? d?zenleyin
Close investor account;Закрытие счета инвестора;Yat?r?mc? hesab?n? kapat
Company;Компания;?irket
Connect an account;Подключить счет;Bir hesap ba?lay?n
Summary report;Сводный отчет;?zet raporu
Type of account creation;Создание типа счета;Hesap olu?turma t?r?
Create an action;Создать действие;Bir eylem olu?turun
Create a document;Создать документ;Bir belge olu?turun
Investor account creation;Создание счета инвестора;Yat?r?mc? hesab? olu?turma
Open investor account;Открыть счет инвестора;Yat?r?mc? hesab? a?
Create master account;Создать счет мастера;Ana hesap olu?tur
Make a ticket;Создать обращение;Bilet yap
Create the server;Создать сервер;Sunucuyu olu?turun
Curator report;Отчет по куратору;K?rat?r raporu
Curators;Кураторы;K?rat?rler
Actions archive;Архив действий;Eylemler ar?ivi
Tickets;Обращения;Biletler
Deals;Сделки;F?rsatlar
Delete investor account;Удалить счет инвестора;Yat?r?mc? hesab?n? sil
Demo;Демо;Demo
Demo account deposit;Пополнение демо счета;Demo hesap mevduat?
Demo investor  accounts;Демо счета инвестора;Demo yat?r?mc? hesaplar?
Demo master accounts;Демо мастер счета;Demo ana hesaplar?
Deposit operations;Депозитные операции;Para yat?rma i?lemleri
Director report;Отчет по директору;Y?netmen raporu
Directors;Директора;Y?netmenler
Display on;Показать по;G?r?nt?le
Documents;Документы;Belgeler
Error;Ошибка;Hata
Edit Task;Редактировать задачу;G?revi D?zenle
Edit action;Редактировать действие;Eylemi d?zenle
Edit customer info;Редактирование информации о клиенте;M??teri bilgilerini d?zenleyin
Edit language;Редактировать язык;Dili d?zenleyin
Edit lead info;Редактирование информации об интересе;Potansiyel m??teri bilgilerini d?zenleyin
Edit master account;Редактировать мастер счет;Ana hesab? d?zenleyin
Edit promotion;Редактировать акцию;Promosyonu d?zenleyin
Edit task;Редактировать;G?revi d?zenleyin
Editing;Редактирование;D?zenleme
Editing payment system;Редактирование платежных систем;?deme sistemini d?zenleme
Editing server;Редактирование сервера;Sunucuyu d?zenleme
Email templates;Шаблоны писем;E-posta ?ablonlar?
Exchange rates;Курсы валют;D?viz kurlar?
First launch;Первый запуск;?lk ba?latma
Fund accounts;Фондовые счета;Fon hesaplar?
Internal transfer;Внутренний перевод;?? transfer
Account type connection;Подключение типа счета;Hesap t?r? ba?lant?s?
Account type editing;Редактирование типа счета;Hesap t?r? d?zenleme
Homepage;Главная страница;Ana Sayfa
Deposit/Withdrawal;Ввод\Вывод средств;Para Yat?rma / ?ekme
Information;Информация;Bilgi
Deposits history;История вводов;Mevduat ge?mi?i
Investor account information;Информация о счете инвестора;Yat?r?mc? hesap bilgileri
Deposit on the Investor account;Пополнение счета инвестора;Yat?r?mc? hesab?na para yat?rma
Withdrawal from Investor account;Вывод средств со счета инвестора;Yat?r?mc? hesab?ndan para ?ekme
Investor accounts;Счета инвестора;Yat?r?mc? hesaplar?
Investor;Инвестор;Yat?r?mc?
Languages;Языки;Diller
Lead info;Информация об интересе;Potansiyel m??teri bilgisi
Leads;Интересы;Olas? sat??lar
Documents management;Управление документами;Belge y?netimi
Accounts management;Управление счетами;Hesap y?netimi
Demo investor accounts management;Управление демо инвест счетами;Demo yat?r?mc? hesaplar? y?netimi
Demo master accounts management;Управление демо мастер счетами;Demo ana hesap y?netimi
Funds accounts management;Управление фондовыми счетами;Fon hesaplar? y?netimi
Investor accounts management;Управление счетами инвестора;Yat?r?mc? hesaplar? y?netimi
Master accounts management;Управление мастер счетами;Ana hesap y?netimi
Users management;Управление пользователями;Kullan?c? y?netimi
Manager;Управляющий;Y?netici
Managers delivery;Рассылка по партнерам;Y?neticilerin teslimi
Master account information;Информация о мастер счете;Ana hesap bilgileri
Master account payment;Платеж для мастер счета;Ana hesap ?demesi
Master account withdrawal;Вывод средств с мастер счета;Ana hesap ?ekme
Master account;Мастер счета;Ana hesap
Email delivery;Рассылка;E-posta teslimi
Choosing the method of email delivery;Выбор варианта рассылки;E-posta teslim y?ntemini se?me
Messages history;История сообщений;Mesaj ge?mi?i
My accounts;Мои счета;Hesaplar?m
My profile;Мой профиль;Profilim
New Lead;Новый интерес;Yeni Potansiyel M??teri
New Task;Новая задача;Yeni g?rev
No results found.;Нет результатов.;Sonu? bulunamad?.
New requests;Новые заявки;Yeni istekler
New customer;Новый клиент;Yeni m??teri
New lead;Новый интерес;Yeni potansiyel m??teri
New task;Новая задача;Yeni g?rev
Open account;Открыть счет;Hesap a??n
Withdrawal through DengiOnline;Вывод через ДеньгиOnline;DengiOnline ?zerinden para ?ekme
Affiliates;Партнеры;Ortakl?klar
Affiliate program;Партнеры;Ortakl?k Program?
Deposit of funds;Ввод средств;Para yat?rma
(Deposit of funds);(Ввод средств);(Para yat?rma)
Payments;Платежи;?demeler
Payment systems;Платежные системы;?deme sistemleri
All payment systems report;Отчет по всем платежным системам;T?m ?deme sistemleri raporu
Positions and orders;Позиции и ордера;Pozisyonlar ve sipari?ler
Positions, orders, options;Позиции, ордера, опционы;Pozisyonlar, sipari?ler, se?enekler
Web Office;Личный кабинет;Web Ofisi
ProInvestor;;ProYat?r?mc?
ProInvestor accounts;ProInvestor счета;ProYat?r?mc? hesaplar?
ProInvestor settings;Настройки ProInvestor;ProYat?r?mc? ayarlar?
Promotions;Акции;Promosyonlar
Live investor accounts;Реальные счета инвесторов;Canl? yat?r?mc? hesaplar?
Register;Регистрация;Kay?t ol
Report;Отчет;Rapor
Reports;Отчеты;Raporlar
Send a message;Отправить сообщение;Bir mesaj g?nder
Servers;Серверы;Sunucular
Email delivery on the account types on the servers ;Рассылка по типам счетов на серверах;Sunuculardaki hesap t?rlerinde e-posta teslimi
Service;Сервис;Servis
Service desk;Сервис деск;Servis masas?
Service desk archive;Сервис деск архив;Servis masas? ar?ivi
Settings;Настройки;Ayarlar
Sources;Источники;Kaynaklar
Specialist report;Отчет по специалисту;Uzman raporu
Specialists;Специалисты;Uzmanlar
Statistics;Статистика;?statistik
General report;Общий отчет;Genel rapor
(Withdrawal);(Вывод средств);(Para ?ekme)
Task;Задача;G?rev
Task dialog;Диалог;G?rev ileti?im kutusu
Tasks;Задачи;G?revler
Tasks archive;Архив задач;G?revler ar?ivi
Total;Всего;Toplam
Trading accounts;Торговый счет;Yat?r?m hesaplar?
{trans_start} {trans_end};{trans_start} {trans_end} ;{trans_start} {trans_end}
Traders;Трейдеры;Yat?r?mc?lar
Trading;Торговля;??lemler
Trading history;Торговая история;??lem ge?mi?i
Users;Пользователи;Kullan?c?lar
Email delivery on the account types in WebOffice;Рассылка по типам счетов в ЛК;WebOffice'deki hesap t?rlerinde e-posta teslimi
Withdrawal;Вывод средств;Para ?ekme
My requests;Мои заявки;?steklerim
Document editing;Редактирование документа;Belge d?zenleme
Attention! With this type of account would be removed attached archival accounts. Delete it?;Внимание! Вместе с этим типом счета будут удалены связанные архивные счета. Удалить?;Dikkat! Bu t?r bir hesapla ekli ar?iv hesaplar? kald?r?l?r. Silecek misiniz?
Depositing;Пополнение счета;Para yat?rma
Payment methods;Методы оплаты;?deme metodlar?
Login confirmation;Подтверждение входа;Giri? onay?
page;;sayfa
Оригинал;Перевод;
On the maibox;На почтовый ящик;Posta kutusunda
Account;Учетная запись;Hesap
Account: {account};Счет: {account};Hesap: {account}
"{attribute} ""{value}"" is already taken";"{attribute} ""{value}"" уже занят";"{attribute} ""{value}"" zaten al?nm??"
{attribute} must be an integer.;{attribute} должен быть целым числом.;{?znitelik} bir tam say? olmal?d?r.
"The file ""{file}"" cannot be uploaded. Only files with these extensions are allowed: {extensions}.";"Файл ""{file}"" не может быть загружен. Разрешена загрузка файлов только со следующими расширениями: {extensions}.";{File} dosyas? y?klenemiyor. Yaln?zca ?u uzant?lara sahip dosyalara izin verilir: {extensions}.
{attribute} is too small (minimum is {min}).;{attribute} слишком мал (Минимум: {min}).;{?znitelik} ?ok k???k (minimum {min}).
{attribute} is too big (maximum is {max}).;{attribute} слишком велик (Максимум: {max}).;{?znitelik} ?ok b?y?k (maksimum {maks}).
"""{attribute}"" must be repeated exactly";"""{attribute}"" должен быть повторен в точности";{?znitelik} tam olarak tekrarlanmal?d?r
{attribute} is too long (maximum is {max} characters).;{attribute} слишком длинный (Максимум: {max} симв.).;{?znitelik} ?ok uzun (maksimum {max} karakterdir).
{attribute} is too short (minimum is {min} characters).;{attribute} слишком короткий (Минимум: {min} симв.).;{?znitelik} ?ok k?sa (minimum {min} karakter).
Account activation;Активация учетной записи;Hesap Aktivasyonu
Account is banned, contact your administrator;Учетная запись забанена, обратитесь к администратору;Hesap yasakland?, y?neticinizle ileti?ime ge?in
Account is not activated, please check email;Учетная запись не активирована. Пожалуйста, проверьте почту;Hesap etkinle?tirilmedi, l?tfen e-postay? kontrol edin
Activation owned by another user;Активация принадлежит другому пользователю;Ba?ka bir kullan?c?ya ait aktivasyon
Activation is successfully performed;Активация прошла успешно.;Aktivasyon ba?ar?yla ger?ekle?tirildi
Add lead;Добавить интерес;Potansiyel m??teri ekleyin
Address;Адрес;Adres
Region;Область;B?lge
Year must be in interval from 1970 to 2033;Год должен быть в промежутке от 1970 до 2033;Y?l, 1970 ile 2033 aras?nda olmal?d?r
Back to home;Вернуться на главную страницу;Eve geri d?n
Cancel;Отмена;?ptal etmek
Change password;Сменить пароль;?ifre de?i?tir
City;Город;Kent
Client agreement;Клиентское соглашение;M??teri s?zle?mesi
Contacts;Контакты;Ki?iler
Country;Страна;?lke
Download;Загрузить;?ndir
Email;;E-posta adresi
Email has incorrect email address.;Email имеет некорректный формат.;E-postada yanl?? e-posta adresi var.
Last IP;Последний IP;Son IP
Duplicate to email;Дублирование на email;E-postaya kopyala
Error;Ошибка;Hata
Without default language;Без языка по умолчанию;Varsay?lan dil olmadan
Profile settings;Настройки профиля;Profil ayarlar?
Password can't be empty;Пароль не может быть пустым.;Parola bo? olamaz
Language;Язык;Dil
Default language;Язык по умолчанию;Varsay?lan dil
Error of password changing, please, try again later;Ошибка смены пароля, попробуйте позднее;?ifre de?i?tirme hatas?, l?tfen daha sonra tekrar deneyin
Error, please, try again later;Ошибка. Пожалуйста, попробуйте позднее.;Hata, l?tfen daha sonra tekrar deneyin
File;Файл;Dosya
Forgot password?;Забыли пароль?;Parolan?z? m? unuttunuz?
I agree;Я согласен;kat?l?yorum
Remember;Запомнить;Hat?rlamak
In order to recover your password, you need to enter the data specified in the registration;Чтобы восстановить ваш пароль, вам необходимо ввести данные, указанные при регистрации;?ifrenizi kurtarmak i?in kay?tta belirtilen verileri girmeniz gerekmektedir.
Incorrect login or email;Неправильный логин или email;Yanl?? giri? veya e-posta
Incorrect email;Неправильный email;Yanl?? E-posta
Incorrect login or password;Неверно указан логин или пароль;Yanl?? giri? veya ?ifre
Last Login;Последняя сессия;Son giri?
Login;Логин;Oturum a?
Login: {login};Логин: {login};Giri? giri?}
Login or Email;Логин или Email;Giri? veya E-posta
Login to the Web Office;Вход в личный кабинет;Web Ofisine Giri? Yap?n
My profile;Мой профиль;Benim profilim
Name;Имя;?sim Soyisim
New call;Новый вызов;Yeni arama
New password;Новый пароль;Yeni ?ifre
New task;Новая задача;Yeni g?rev
Notice of risks;Уведомление о рисках;Risk bildirimi
Now you can continue using your login and password.;Теперь вы можете продолжить работу под своим логином и паролем.;?imdi kullan?c? ad?n?z? ve ?ifrenizi kullanmaya devam edebilirsiniz.
Old password;Старый пароль;Eski ?ifre
Old password is incorrect;Старый пароль введен неправильно;Eski ?ifre yanl??
Affiliate code;Партнерский код;Ortakl?k kodu
Affiliates;Партнеры;??tirakler
Passport;Паспорт;Pasaport
Investor password: {investor_password};Пароль инвестора: {investor_password};Yat?r?mc? ?ifresi: {investtor_password}
Password;Пароль;Parola
Password: {pass};Пароль: {pass};?ifre: {pass}
Password has been changed;Пароль был изменен;?ifre de?i?tirildi
Password recovery;Восстановление пароля;?ifre kurtarma
Password recovery for CRM;Восстановление пароля для CRM;CRM i?in ?ifre kurtarma
Password recovery for weboffice;Восстановление пароля для личного кабинета;Weboffice i?in ?ifre kurtarma
Password change request;Запрос на смену пароля;?ifre de?i?tirme talebi
Password was successfully changed;Пароль был успешно изменен;?ifre ba?ar?yla de?i?tirildi
Patronymic;Отчество;Soyad?
Personal data;Персональные данные;Ki?isel veri
Phone;Телефон;Telefon
Zip code;Почтовый индекс;Posta kodu
Profile;Профиль;Profil
Reg Date;Дата регистрации;Kay?t Tarihi
Register your account and take access to all service features.;Зарегистрируйте себе учетную запись и получите доступ ко всем сервисам компании.;Hesab?n?z? kaydedin ve t?m hizmet ?zelliklerine eri?in.
Registration;Регистрация;Kay?t
Repeat password;Повторите новый пароль;?ifreyi tekrar girin
Send request to approve account;Отправить запрос на подтверждение учетной записи;Hesab? onaylama iste?i g?nderin
Server name;Название сервера;Sunucu ad?
Server name: {server};Название сервера: {server};Sunucu ad?: {server}
Show;Показать;G?stermek
Sign in;Войти;oturum a?
Sign up;Зарегистрироваться;kaydol
Surname;Фамилия;Soyad?
The verification code is incorrect;Проверочный код неверен;Do?rulama kodu yanl??
To confirm registration, go to {link};Для подтверждения регистрации перейдите по {link};Kayd? onaylamak i?in {link} adresine gidin
A new password has been sent to your Email;На ваш Email отправлен новый пароль;E-postan?za yeni bir ?ifre g?nderildi
A new password will be sent to your Email;На ваш Email будет отправлено письмо с новым паролем;E-postan?za yeni bir ?ifre g?nderilecektir
To reset your password, you need to enter the Email, specified during registration.;Чтобы сбросить ваш пароль, вам необходимо ввести Email, указанный при регистрации.;?ifrenizi s?f?rlamak i?in kay?t s?ras?nda belirtilen E-postay? girmeniz gerekir.
A message will be sent to your Email with a link to change the password.;На ваш Email будет отправлено письмо со ссылкой на изменение пароля.;E-postan?za ?ifreyi de?i?tirmek i?in bir ba?lant? i?eren bir mesaj g?nderilecektir.
A message with a link to change the password has been sent to your email.;На указанный вами Email было отправлено письмо со ссылкой на изменение пароля.;E-postan?za ?ifreyi de?i?tirmek i?in bir ba?lant? i?eren bir mesaj g?nderildi.
Unable to change the password, try again later;Не удалось изменить пароль, попробуйте позднее;?ifre de?i?tirilemiyor, daha sonra tekrar deneyin
Unable to save the data, contact the administrator;Не удалось сохранить данные, обратитесь к администратору;Veriler kaydedilemiyor, y?netici ile ileti?ime ge?in
Upload;Загрузить;Y?kle
"It is necessary to fill in the field ""{attribute}""";"Необходимо заполнить поле ""{attribute}""";{Attribute} alan?n? doldurmak gerekiyor
"""{attribute}"" can't be empty";"""{attribute}"" не может быть пустым";{attribute} bo? olamaz
Passport and documents;Паспорт и документы;Pasaport ve belgeler
User is not found;Пользователь не найден;Kullan?c? bulunamad?
Verification code;Код подтверждения;Do?rulama kodu
Wrong activation key;Неправильный ключ активации;Yanl?? aktivasyon anahtar?
You can recover the password to your account.;Вы можете восcтановить пароль к своей учетной записи.;Parolay? hesab?n?za kurtarabilirsiniz.
You entered wrong affiliate code;Вы ввели несуществующий партнерски код;Yanl?? ?ye kodu girdiniz
You must authorise;Вы должны авторизоваться;Yetki vermelisiniz
Your new password;Ваш новый пароль;Yeni parolan?z
credit card;банковской картой;kredi kart?
Investor password;Пароль инвестора;Yat?r?mc? ?ifresi
an email with an activation link has been sent. To complete the registration click the link in the email;было отправлено письмо со ссылкой активации. Для завершения регистрации необходимо перейти по ссылке, указанной в письме;aktivasyon ba?lant?s? i?eren bir e-posta g?nderildi. Kayd? tamamlamak i?in e-postadaki ba?lant?ya t?klay?n
Enable;Включена;etkinle?tirme
You have successfully completed your registration in Trader's room. You now have access to company's services. Registration data;Поздравляем Вас с успешной регистрацией в личном кабинете. Теперь у вас есть доступ ко всем сервисам компании. Регистрационные данные;Trader'?n odas?nda kayd?n?z? ba?ar?yla tamamlad?n?z. Art?k ?irketin hizmetlerine eri?ebilirsiniz. Kay?t verileri
Trader's Room registration completed successfully;Успешная регистрация в личном кабинете;T?ccar?n Odas? kayd? ba?ar?yla tamamland?
We highly recommend you to store the data in a safe place.;Настоятельно рекомендуем Вам хранить эти данные в максимально защищенном месте.;Verileri g?venli bir yerde saklaman?z? ?iddetle tavsiye ederiz.
You successfully withdrawed money. Sum of the withdrawal is {sum}.;Вы успешно вывели средств;Ba?ar?yla para ?ektiniz. Para ?ekme toplam? {toplam}.
The phone number has to contain only figures.;Номер телефона должен содержать только цифры;Telefon numaras? yaln?zca rakamlar i?ermelidir.
